objectid,filename,youtubeid,vimeoid,title,format,description,creator,recipient,date,item_information,subject,location,latitude,longitude,source,identifier,rights,rightsstatement,type,culture
coll001,1,,,Composite image of Kyōsai's Illustrations of the Hundred Demons (Kyōsai hyakki gadan),image/jpg,,"KAWANABE Kyōsai 河鍋暁斎 (Japanese, 1831-1889)",,"Meiji period (1868-1912), August 1889",multi-page; book,Hyakki Yagyō,Japan,35.6762,139.6503,"Gift of Dr. Don E. and Carol Steichen Dumond, Jordan Schnitzer Museum of Art

Link to item page on Jordan Schnitzer Museum of Art website",2003:10.3,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,Japanese
coll002,2,,,"Votive slip folio 29 recto 7, NE1184.35.N67 v.57",image/jpg,Four-unit votive slip with double black border. Two men pasting votive slips on temple exterior. Statue within.,Unknown,,Unknown,single-page; print,Nōsatsukai,Japan,35.6762,139.6503,"Gertrude Bass Warner Memorial Library, Japanese Art, Special Collections and University Archives, University of Oregon Libraries, Eugene, Oregon.

Link to item page on Oregon Digital",NE1184_35_N67_v57_060g,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,Japanese
coll003,3,,,"Votive slip folio 24 recto 7, NE1184.35.N67 v.57",image/jpg,Single-unit votive slip with double black border. Red mythological creature on cloud holding chain with votive slip on hook.,Unknown,,Unknown,single-page; print,Oni,Japan,35.6762,139.6503,"Gertrude Bass Warner Memorial Library, Japanese Art, Special Collections and University Archives, University of Oregon Libraries, Eugene, Oregon.

Link to item page on Oregon Digital",NE1184_35_N67_v57_050g,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,Japanese
coll004,4,,,"Votive slip folio 20 recto 1, NE1184.35.N67 v.57",image/jpg,Two-unit votive slip with double black border. Dragon dance mask with votive picture panel in teeth.,Unknown,,Unknown,single-page; print,Oni,Japan,35.6762,139.6503,"Gertrude Bass Warner Memorial Library, Japanese Art, Special Collections and University Archives, University of Oregon Libraries, Eugene, Oregon.

Link to item page on Oregon Digital",NE1184_35_N67_v57_042a,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,Japanese
coll005,5,,,Hell scene with Oni and Enma on eighteen senjafuda,image/jpg,"Composite of senjafuda 769_952_C685_v39_0031a-d, 769_952_C685_v39_ 0032a-g, 769_952_C685_v39_0033a-d, 769_952_c685_v39_0060b, 769_952_c685_v39_0061a, and 1964:3.23.1186.",Unknown,,Unknown,multi-page; print,Enma; Oni; Hell,Japan,35.6762,139.6503,"Gertrude Bass Warner Memorial Library, Japanese Art, Special Collections and University Archives, University of Oregon Libraries, Eugene, Oregon.

Gift of Frederick Starr Estate, Jordan Schnitzer Museum of Art.","769_952_C685_v39_0031a, 769_952_C685_v39_0031b, 769_952_C685_v39_0031c, 769_952_C685_v39_0031d, 769_952_C685_v39_ 0032a, 769_952_C685_v39_ 0032b, 769_952_C685_v39_ 0032c, 769_952_C685_v39_ 0032d, 769_952_C685_v39_ 0032e, 769_952_C685_v39_ 0032f, 769_952_C685_v39_ 0032g, 769_952_C685_v39_0033a, 769_952_C685_v39_0033b, 769_952_C685_v39_0033c, 769_952_C685_v39_0033d, 769_952_c685_v39_0060b, 769_952_c685_v39_0061a, 1964:3.23.1186","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,Japanese
coll006,6,,,"Votive slip folio 49 recto 1, 769.952.C685 v.39",image/jpg,Two-unit votive slip with double black border. Stone buddha sculpture with supernatural surroundings. Multiple white slips with black text at top.,Unknown,,Unknown,single-page; print,Yōkai,Japan,35.6762,139.6503,"Gertrude Bass Warner Memorial Library, Japanese Art, Special Collections and University Archives, University of Oregon Libraries, Eugene, Oregon.

Link to item page on Oregon Digital",769_952_c685_v39_0100a,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,Japanese
coll007,7,,,"Votive slip folio 1 verso 1, NE1184.35.N67 v.4",image/jpg,Eight-unit votive slip with double black border. Image of elderly man standing outside temple. Block of black and white votive slips in lower left corner.,Unknown,,Unknown,single-page; print,Tengu; Tengu Kōhei,Japan,35.6762,139.6503,"Gertrude Bass Warner Memorial Library, Japanese Art, Special Collections and University Archives, University of Oregon Libraries, Eugene, Oregon.

Link to view item page on Oregon Digital",NE1184_35_N67_v04_003a,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,Japanese
coll008,8,,,"Votive slip folio 14 recto 1, NE1184.35.N67 v.2",image/jpg,Eight-unit votive slip with double black border. Demonic figure with red face and while black hair and beard. Holds white slip with black text and ren mark in hand. Mirror in background with black text and red seal.,Unknown,,"Meiji period (1868-1912), August 1889",single-page; print,Enma,Japan,35.6762,139.6503,"Gertrude Bass Warner Memorial Library, Japanese Art, Special Collections and University Archives, University of Oregon Libraries, Eugene, Oregon.

Link to view item page on Oregon Digital",NE1184_35_N67_v02_030a,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,Japanese
coll009,9,,,Enma judging a soul in Hell,image/jpg,"Votive slip from the Shōbundō senjafuda collection (Coll 482), Special Collections and University Archives, University of Oregon Libraries, Eugene, Oregon. Photograph by Glynne Walley.",Unknown,,Unknown,single-page; print,Enma; Hell,Japan,35.6762,139.6503,"""Enma judging a soul in Hell,"" Shōbundō senjafuda collection, Coll 482, Special Collections & University Archives, University of Oregon Libraries, Eugene, Oregon.

Learn more about the Shōbundō senjafuda collection at Archives West",Shōbundō senjafuda collection (Coll 482),"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,Japanese
coll010,10,,,"Votive slip folio 10 verso 1, 769.952.C685 v.5",image/jpg,Two-unit votive slip with double black border. Large image of man with large black beard and elaborate wardrobe holding weapon. Two white slips with black text in upper left corner.,Unknown,,Unknown,single-page; print,Shōki,Japan,35.6762,139.6503,"Gertrude Bass Warner Memorial Library, Japanese Art, Special Collections and University Archives, University of Oregon Libraries, Eugene, Oregon.


Link to item page on Oregon Digital",769_952_c685_v5_021br,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,Japanese
